"Subject","Course","Course_Title","As","Bs","Cs","Ds","Fs","GPA","N"
"MATH",2214,"Intro Diff Equations",245,249,139,40,37,2.84428571428571,710
"MATH",2224,"Multivariable Calculus",31,27,44,19,21,2.195,142
"MATH",2405,"Math in Computational Context",10,6,1,0,0,3.49,17
"MATH",2534,"Intro Discrete Math",64,78,58,7,21,2.68,228
"MATH",2644,"Mathematics Tutoring",17,1,0,0,0,3.93,18
"MATH",3034,"Introduction to Proofs",21,16,10,5,3,2.81,55
"MATH",3054,"Programming for Math",5,5,3,0,3,2.47,16
"MATH",3124,"Modern Algebra",19,20,10,2,2,2.96333333333333,53
"MATH",3134,"Applied Combinatorics",27,49,32,11,7,2.5475,126
"MATH",3144,"Linear Algebra I",20,23,15,11,5,2.54666666666667,74
"MATH",3214,"Calculus of Several Variables",38,33,31,7,3,2.8,112
"MATH",3224,"Advanced Calculus",10,8,12,5,5,2.34,40
"MATH",3414,"Numerical Methods",3,3,2,2,0,2.61,10
"MATH",4044,"History of Mathematics",11,12,8,1,1,2.94,33
"MATH",4124,"Intr Abstract Algebra",10,17,8,3,3,2.605,41
"MATH",4175,"Cryptography",24,32,16,1,0,3.085,73
"MATH",4225,"Elementary Real Analysis",11,16,3,1,2,3,33
"MATH",4245,"Intermediate Differential Equa",7,8,4,6,3,2.33,28
"MATH",4334,"College Geometry",9,5,8,2,1,2.77,25
"MATH",4414,"Issues in Scientific Computing",10,8,2,1,0,3.26,21
"MATH",4425,"Fourier Series PDE",14,5,4,4,8,2.33,35
"MATH",4445,"Intro to Numer Analysis",14,14,12,9,3,2.51,52
"MATH",4564,"Operational Methods",81,86,57,17,17,2.728,258
"MATH",4574,"Vector/Complex Analysis",17,22,8,0,1,3.13,48
"MATH",4625,"Math for Secondary Teachers",4,7,1,0,0,3.25,12
"MATH",4644,"Secondary Math w/ Tech",13,0,0,0,1,3.67,14
"MATH",4664,"Senior Math Education Seminar",10,2,0,0,0,3.78,12
"MATH",4984,"SS:Applied Complex Variables",5,4,3,1,3,2.46,16
"MATH",5125,"Abstract Algebra",4,4,2,0,0,3.11,10
"MATH",5235,"Complex Analysis",3,6,1,0,0,3.26,10
"MATH",5425,"Ap Par Dif Equa",9,1,0,0,0,3.87,10
"MATH",5465,"Numerical Analysis",8,1,1,0,0,3.7,10
"MATH",5485,"Numer Analy and Softw",11,0,0,0,0,3.97,11
"MATH",5614,"Prob & Stat for K-8 Teachers",12,0,0,0,0,4,12
"ME",2024,"Engr Design & Econ",44,167,33,0,0,3.0375,244
"ME",2124,"Intro Thermal Fluid",42,68,16,4,1,3.075,131
"ME",2984,"SS:Intro to Robotics",23,7,3,2,3,3.24,38
"ME",3124,"Thermodynamics",101,135,48,9,5,3.016,298
"ME",3134,"Fundamentals of Thermodynamics",48,100,47,17,4,2.7575,216
"ME",3404,"Fluid Mechanics",57,131,81,21,4,2.7225,294
"ME",3514,"System Dynamics",96,110,71,36,7,2.744,320
"ME",3614,"Mechanical Design I",64,123,73,23,3,2.732,286
"ME",4006,"Mechanical Engineering Lab",211,137,10,0,2,3.48888888888889,360
"ME",4015,"Engineering Design and Project",236,121,5,0,0,3.59,362
"ME",4124,"CAD of Fluid-Thermal Sys",75,171,98,16,3,2.8,363
"ME",4194,"Sustainable Energy Solutions",4,12,0,0,0,3.21,16
"ME",4504,"Control Engr I",17,15,3,4,2,2.99,41
"ME",4544,"Automotive Engineering",21,24,8,0,0,3.2,53
"ME",4554,"Adv Technology Motor Vehicles",38,11,2,0,2,3.54,53
"ME",4624,"Finite Elem Practice",6,10,3,0,0,3.13,19
"ME",4644,"Rapid Prototyping",4,11,0,0,0,3.27,15
"ME",4735,"Mechatronics",44,7,1,0,0,3.77,52
"ME",4974,"Independent Study",14,2,0,0,0,3.8,16
